Name,Age,Overall,Club,Value(£),Age_Group,Overall_Group,Log_Value,Age_Rating
22 K. Kalafat,-0.6741284116973434,-0.17043122440981007,Beşiktaş JK,-0.2442003927781223,21-25,61-70,0.09152538977221614,-0.5578790334624578
21 L. Flores,0.1879982991850584,0.4517657043281987,Caracas Fútbol Club,-0.17086841184207172,21-25,61-70,0.3337046099464709,0.2705895364579577
16 N. Vidić,2.1277833986704624,2.193917104794623,Inter,0.6070882554795083,31-35,81-90,1.1023267385140267,2.6681955879939427
L. Dietz,0.40352997690565884,0.4517657043281987,Viktoria Köln,-0.1836217998309501,26-30,61-70,0.2997675508016166,0.4214248467423812
I. Fomba,-0.458596733976743,-0.04599183866220832,Málaga CF,-0.19637518781982843,21-25,61-70,0.2631127366968009,-0.3710233505727989
E. Terpiłowski,-0.6741284116973434,-0.04599183866220832,Widzew Łódź,-0.2091285758087068,21-25,61-70,0.22326668802336444,-0.5128535677059135
22 F. Fofana,-1.1051917671385443,0.07844754708539343,PSV,-0.15811502385319337,15-20,61-70,0.3652992577569411,-0.7559910827912528
15 P. Triantis,-0.24306505625614253,-0.7926281531478189,Sydney FC,-0.33793779449637823,21-25,51-60,-0.9230722825322871,-0.5263612074328768
A. Odoh,-0.458596733976743,-0.17043122440981007,Rochdale,-0.2473887397753419,21-25,61-70,0.0774338007220911,-0.4183000896171704
C. Daferner,0.1879982991850584,0.5762050900758005,1. FC Nürnberg,-0.11985485988655828,21-25,61-70,0.4487917362743273,0.3246200953658109
L. Halangk,-1.1051917671385443,-0.4193099959050136,Hallescher FC,-0.2792722097475378,15-20,61-70,-0.09415345947145214,-0.9180827595148124
C. McAleny,1.2656566877880606,-0.17043122440981007,Salford City,-0.2984022917308553,26-30,61-70,-0.23998619065695634,0.6983314611451288
22 J. Varane,-0.889660089417944,-0.17043122440981007,Rodez Aveyron Football,-0.23463535178646353,15-20,61-70,0.13137142688150677,-0.6974579773077452
21 E. Aubert,1.6967200432292615,0.825083861571004,FBC Melgar,-0.2091285758087068,31-35,71-80,0.22326668802336444,1.5358051242168531
22 Y. Çeltik,-1.1051917671385443,-0.29487061015741184,Fortuna Sittard,-0.25376543376978106,15-20,61-70,0.047878999246369486,-0.8775598403339225
T. Kacharaba,0.8345933323468597,1.322841404561411,SK Slavia Praha,0.1479662878798873,26-30,71-80,0.8028670065477684,1.148586118710572
R. Cabral,-0.458596733976743,0.32732631858059696,Club Atlético Huracán,-0.10710147189767992,21-25,61-70,0.47355132422184126,-0.22919313343968425
C. Cruz,-0.6741284116973434,-0.4193099959050136,Deportivo Táchira FC,-0.2728955157530986,21-25,61-70,-0.05430744549043033,-0.6479299649755464
22 J. Willis,-0.889660089417944,-1.165946310390624,Walsall,-0.3290104229041634,15-20,51-60,-0.6595916345733557,-1.039651517057482
22 M. Ibrahimoglu,-0.6741284116973434,-0.17043122440981007,Heracles Almelo,-0.23782369878368312,21-25,61-70,0.11847083978602867,-0.5578790334624578
22 Álex Blanco,-0.889660089417944,-0.29487061015741184,CF Fuenlabrada,-0.26014212776422024,15-20,61-70,0.01628437324257179,-0.7402321697764623
H. Šabanović,-0.24306505625614253,0.4517657043281987,Angers SCO,-0.06884130793104484,21-25,61-70,0.5406870436727885,-0.03108108411088925
22 S. Spence,-0.6741284116973434,-0.5437493816526153,Bristol Rovers,-0.3079673327225141,21-25,51-60,-0.33507252002195426,-0.6929554307320908
P. Müller,-0.889660089417944,-0.9170675388954206,RZ Pellets Wolfsberger AC,-0.3047789857252945,15-20,51-60,-0.30113553636161294,-0.9541031321200478
22 D. Pereira,0.40352997690565884,-0.04599183866220832,Montevideo City Torque,-0.2760838627503182,26-30,61-70,-0.07379720781153572,0.19629751795965958
W. Geubbels,-0.6741284116973434,0.5762050900758005,AS Monaco,-0.005074367986653036,21-25,61-70,0.6344707782537555,-0.2877262389231919
22 Z. Issaka,0.1879982991850584,-0.7926281531478189,Kawasaki Frontale,-0.32008305131194853,21-25,51-60,-0.49340317437419573,-0.26971605262057413
20 Niko Kata,0.6190616546262593,0.07844754708539343,Delfín Sporting Club,-0.2824605567447574,26-30,61-70,-0.11545684571163768,0.3966608405762818
J. Nilsson,1.0501250100674602,1.322841404561411,Manchester United,-0.3494158436863688,26-30,71-80,-6.1470699070995485,1.315180342009786
S. Sahin,-0.24306505625614253,-0.6681887674002172,SV Elversberg,-0.3111556797197337,21-25,51-60,-0.37172724606153235,-0.476833195100678
O. Sørensen,-0.6741284116973434,-0.6681887674002172,FC Midtjylland,-0.285648903741977,21-25,51-60,-0.1377998222433822,-0.7379808964886351
22 Anderson Leite,1.0501250100674602,-0.17043122440981007,Fútbol Club Juárez,-0.3047789857252945,26-30,61-70,-0.30113553636161294,0.5587525172998413
J. Wosz,-0.889660089417944,-0.29487061015741184,RB Leipzig,-0.26014212776422024,15-20,61-70,0.01628437324257179,-0.7402321697764623
B. Hollerbach,-0.458596733976743,0.07844754708539343,SV Wehen Wiesbaden,-0.23463535178646353,21-25,61-70,0.13137142688150677,-0.3237466115284273
22 João Mendes,-0.458596733976743,-0.29487061015741184,FC Porto,-0.26014212776422024,21-25,61-70,0.01628437324257179,-0.46557682866154193
Netinho,1.0501250100674602,-0.17043122440981007,IFK Värnamo,-0.3047789857252945,26-30,61-70,-0.30113553636161294,0.5587525172998413
21 R. Herrera,-0.889660089417944,-0.17043122440981007,Defensa y Justicia,-0.23463535178646353,15-20,61-70,0.13137142688150677,-0.6974579773077452
D. Bakwa,-0.889660089417944,0.4517657043281987,FC Girondins de Bordeaux,-0.04333453195328812,15-20,61-70,0.5805331096924551,-0.4835870149641597
D. Vogt,-0.458596733976743,-0.4193099959050136,SV Meppen,-0.285648903741977,21-25,61-70,-0.1377998222433822,-0.5128535677059135
Sergio Castel,0.8345933323468597,0.9495232473186057,UD Ibiza,-0.06884130793104484,26-30,71-80,0.5406870436727885,0.9662329823965675
A. Bernhardsson,-0.027533378535542063,-0.29487061015741184,IF Elfsborg,-0.25695378076700065,21-25,61-70,0.03235410734099762,-0.19092148754662158
22 Arratia,-0.458596733976743,-0.29487061015741184,Rayo Vallecano,-0.25695378076700065,21-25,61-70,0.03235410734099762,-0.46557682866154193
M. Lucas,1.2656566877880606,0.2028869328329952,9 de Octubre,-0.2728955157530986,26-30,61-70,-0.05430744549043033,0.8941922371860965
21 I. Pais,-0.6741284116973434,-0.4193099959050136,FC Cartagena,-0.2792722097475378,21-25,61-70,-0.09415345947145214,-0.6479299649755464
F. Orlando,0.40352997690565884,0.4517657043281987,US Salernitana 1919,-0.1836217998309501,26-30,61-70,0.2997675508016166,0.4214248467423812
L. Pršo,-0.458596733976743,-0.7926281531478189,Melbourne Victory,-0.3079673327225141,21-25,51-60,-0.33507252002195426,-0.6546837848390281
Clayton,-0.027533378535542063,0.2028869328329952,Casa Pia,-0.22188196379758518,21-25,61-70,0.17962028362054688,0.016195654933482285
L. Coulibaly,-0.889660089417944,0.07844754708539343,FC Nordsjælland,-0.17086841184207172,15-20,61-70,0.3337046099464709,-0.611909592370311
Léo Chú,-0.24306505625614253,0.32732631858059696,Seattle Sounders FC,-0.10710147189767992,21-25,61-70,0.47355132422184126,-0.080609096443088
M. Oswald,-0.6741284116973434,-0.4193099959050136,SK Rapid Wien,-0.2728955157530986,21-25,61-70,-0.05430744549043033,-0.6479299649755464
A. Oroz,-0.889660089417944,0.07844754708539343,Colo-Colo,-0.17086841184207172,15-20,61-70,0.3337046099464709,-0.611909592370311
Q. Sullivan,-1.1051917671385443,-0.4193099959050136,Philadelphia Union,-0.2760838627503182,15-20,61-70,-0.07379720781153572,-0.9180827595148124
S. Ltaief,-0.24306505625614253,0.32732631858059696,FC Basel 1893,-0.10710147189767992,21-25,61-70,0.47355132422184126,-0.080609096443088
B. Duke,-0.458596733976743,-0.29487061015741184,Inter Miami CF,-0.2473887397753419,21-25,61-70,0.0774338007220911,-0.46557682866154193
J. Augustin,0.40352997690565884,0.2028869328329952,FC Basel 1893,-0.22825865779202434,26-30,61-70,0.15613100143895367,0.3088611823510204
22 S. Hansen,-0.889660089417944,0.07844754708539343,Ajax,-0.15811502385319337,15-20,61-70,0.3652992577569411,-0.611909592370311
R. McCourt,0.1879982991850584,-0.5437493816526153,Dundalk FC,-0.3079673327225141,21-25,51-60,-0.33507252002195426,-0.16165493480486778
22 G. Likonza,-0.027533378535542063,-0.04599183866220832,Standard de Liège,-0.25695378076700065,21-25,61-70,0.03235410734099762,-0.08736291630656966
E. Olivares,-0.889660089417944,-0.4193099959050136,Club Deportivo Jorge Wilstermann,-0.2728955157530986,15-20,61-70,-0.05430744549043033,-0.7830063622451794
I. Annan,-0.6741284116973434,-0.5437493816526153,Kristiansund BK,-0.2888372507391966,21-25,51-60,-0.16128908032288844,-0.6929554307320908
22 R. Kida,-0.027533378535542063,-0.17043122440981007,Vegalta Sendai,-0.269707168755879,21-25,61-70,-0.03561340803588567,-0.13914220192659563
21 R. Marshall,0.40352997690565884,-0.04599183866220832,Shamrock Rovers,-0.269707168755879,26-30,61-70,-0.03561340803588567,0.19629751795965958
D. Fila,-0.889660089417944,0.5762050900758005,SK Slavia Praha,-0.10710147189767992,15-20,61-70,0.47355132422184126,-0.44081282249544257
E. Emanuele,-1.1051917671385443,-0.7926281531478189,Barcelona Sporting Club,-0.3015906387280749,15-20,51-60,-0.2695409539710692,-1.039651517057482
22 L. Gagnidze,-1.1051917671385443,-0.4193099959050136,Raków Częstochowa,-0.2760838627503182,15-20,61-70,-0.07379720781153572,-0.9180827595148124
22 K. Salvatierra,-0.889660089417944,0.2028869328329952,Club Bolívar,-0.13260824787543665,15-20,61-70,0.4226165658590549,-0.5691353999015939
22 Falcão,-0.458596733976743,0.07844754708539343,FC Viktoria 1889 Berlin,-0.22825865779202434,21-25,61-70,0.15613100143895367,-0.3237466115284273
V. Pop,-0.458596733976743,-0.7926281531478189,CS Mioveni,-0.3015906387280749,21-25,51-60,-0.2695409539710692,-0.6546837848390281
22 D. Velimirovic,-0.6741284116973434,-0.4193099959050136,SK Rapid Wien,-0.2792722097475378,21-25,61-70,-0.09415345947145214,-0.6479299649755464
A. Salah-Eddine,-0.6741284116973434,0.07844754708539343,FC Twente,-0.1836217998309501,21-25,61-70,0.2997675508016166,-0.4678281019493692
22 N. Ødegård,-1.3207234448591447,-1.0415069246430224,Molde FK,-0.3047789857252945,15-20,51-60,-0.30113553636161294,-1.2445173862497587
22 César García,-0.458596733976743,0.07844754708539343,Real Sporting de Gijón,-0.1836217998309501,21-25,61-70,0.2997675508016166,-0.3237466115284273
L. Campana,-0.24306505625614253,0.5762050900758005,Inter Miami CF,-0.03058114396440976,21-25,61-70,0.5992271700440065,0.018446928221309503
I. Koutsoupias,-0.458596733976743,-0.29487061015741184,Benevento,-0.25695378076700065,21-25,61-70,0.03235410734099762,-0.46557682866154193
J. Garrett,-0.889660089417944,-0.04599183866220832,Blackburn Rovers,-0.2091285758087068,15-20,61-70,0.22326668802336444,-0.6546837848390281
R. Nizet,-0.6741284116973434,-0.4193099959050136,Lecce,-0.269707168755879,21-25,61-70,-0.03561340803588567,-0.6479299649755464
N. May,-0.6741284116973434,-0.29487061015741184,Viktoria Köln,-0.26333047476143984,21-25,61-70,-0.00036984053193182934,-0.6029044992190021
22 H. Lindley,-1.1051917671385443,-0.7926281531478189,Aston Villa,-0.3047789857252945,15-20,51-60,-0.30113553636161294,-1.039651517057482
S. Ramírez,-0.6741284116973434,0.07844754708539343,Club Nacional de Football,-0.1836217998309501,21-25,61-70,0.2997675508016166,-0.4678281019493692
M. Vitík,-0.889660089417944,1.0739626330662075,AC Sparta Praha,0.24999339179091418,15-20,71-80,0.8883123593181023,-0.26971605262057413
S. Berger,-0.889660089417944,-0.17043122440981007,Viborg FF,-0.22825865779202434,15-20,61-70,0.15613100143895367,-0.6974579773077452
22 F. Guerrero Iturri,-0.889660089417944,-0.5437493816526153,Deportivo Pasto,-0.2920255977364162,15-20,51-60,-0.18604862810024175,-0.8257805547138966
22 A. Bedoya,0.40352997690565884,0.07844754708539343,Mushuc Runa,-0.26014212776422024,26-30,61-70,0.01628437324257179,0.25257935015534
S. Sy,-0.027533378535542063,0.4517657043281987,US Salernitana 1919,-0.15811502385319337,21-25,61-70,0.3652992577569411,0.11975422617353422
C. Billemaz,-0.027533378535542063,-0.04599183866220832,FC Annecy,-0.22507031079480475,21-25,61-70,0.1680262312012757,-0.08736291630656966
22 G. Miceli,-0.027533378535542063,-0.17043122440981007,Club Atlético Banfield,-0.2792722097475378,21-25,61-70,-0.09415345947145214,-0.13914220192659563
N. Burkart,-0.24306505625614253,-0.04599183866220832,Sport-Club Freiburg,-0.22507031079480475,21-25,61-70,0.1680262312012757,-0.22919313343968425
N. Contin,0.6190616546262593,0.32732631858059696,Gimnasia y Esgrima La Plata,-0.2091285758087068,26-30,61-70,0.22326668802336444,0.513727051543297
I. Mesík,-0.458596733976743,-0.17043122440981007,Odds BK,-0.2442003927781223,21-25,61-70,0.09152538977221614,-0.4183000896171704
Juan Cruz,-0.24306505625614253,0.32732631858059696,Real Betis Balompié,-0.10710147189767992,21-25,61-70,0.47355132422184126,-0.080609096443088
22 L. Jaldín,1.6967200432292615,0.4517657043281987,Club Atlético Palmaflor,-0.25376543376978106,31-35,61-70,0.047878999246369486,1.3264367084489221
A. Dervin,-0.24306505625614253,-0.7926281531478189,Shelbourne FC,-0.31753237371417287,21-25,51-60,-0.45521947016829883,-0.5263612074328768
22 Guille Bernabéu,-0.6741284116973434,-0.4193099959050136,Real Oviedo,-0.2792722097475378,21-25,61-70,-0.09415345947145214,-0.6479299649755464
22 J. Benguché,0.40352997690565884,0.4517657043281987,Cerro Largo Fútbol Club,-0.17086841184207172,26-30,61-70,0.3337046099464709,0.4214248467423812
22 M. Nenakhov,-0.24306505625614253,0.2028869328329952,FC Lokomotiv Moscow,-0.2091285758087068,21-25,61-70,0.22326668802336444,-0.13013710877528675
M. Achi,-0.6741284116973434,-0.4193099959050136,FC Nantes,-0.2728955157530986,21-25,61-70,-0.05430744549043033,-0.6479299649755464
21 C. David,0.8345933323468597,-0.04599183866220832,FC Würzburger Kickers,-0.285648903741977,26-30,61-70,-0.1377998222433822,0.4799579522258888
Postigo,2.1277833986704624,0.9495232473186057,Levante Unión Deportiva,-0.23463535178646353,31-35,71-80,0.13137142688150677,1.9252754030109616
T. Milanese,-0.889660089417944,-0.04599183866220832,US Cremonese,-0.2091285758087068,15-20,61-70,0.22326668802336444,-0.6546837848390281
O. Otasowie,-0.458596733976743,-0.04599183866220832,Club Brugge KV,-0.22188196379758518,21-25,61-70,0.17962028362054688,-0.3710233505727989
J. Harris,-0.24306505625614253,-0.6681887674002172,Carlisle United,-0.29521394473363577,21-25,51-60,-0.21222375361945808,-0.476833195100678
22 M. Ferreira,1.2656566877880606,-0.17043122440981007,Cerro Largo Fútbol Club,-0.3047789857252945,26-30,61-70,-0.30113553636161294,0.6983314611451288
22 K. Konno,-0.027533378535542063,0.07844754708539343,FC Tokyo,-0.2473887397753419,21-25,61-70,0.0774338007220911,-0.03558363068654368
22 E. Sierra,-0.889660089417944,0.07844754708539343,Heracles Almelo,-0.17086841184207172,15-20,61-70,0.3337046099464709,-0.611909592370311
21 Isma Lohoba,-0.458596733976743,-0.29487061015741184,SD Huesca,-0.2473887397753419,21-25,61-70,0.0774338007220911,-0.46557682866154193
Rodado,0.40352997690565884,0.2028869328329952,UD Ibiza,-0.2091285758087068,26-30,61-70,0.22326668802336444,0.3088611823510204
21 Álvaro Juan,-0.6741284116973434,-0.29487061015741184,AD Alcorcón,-0.2473887397753419,21-25,61-70,0.0774338007220911,-0.6029044992190021
J. Gutiérrez,-0.6741284116973434,-0.17043122440981007,Club Nacional de Football,-0.22507031079480475,21-25,61-70,0.1680262312012757,-0.5578790334624578
21 J. Yglesias,3.420973464994065,-0.29487061015741184,Club Atlético Grau,-0.34176381089304175,36-40,61-70,-1.1087488652338395,2.006321241372741
S. Diaby,-0.24306505625614253,-0.29487061015741184,FC Winterthur,-0.26014212776422024,21-25,61-70,0.01628437324257179,-0.3282491581040818
21 F. Ellé Essouma,-0.6741284116973434,-0.5437493816526153,Paris FC,-0.285648903741977,21-25,51-60,-0.1377998222433822,-0.6929554307320908
19 J. Mendy,1.0501250100674602,0.07844754708539343,Dundee FC,-0.2888372507391966,26-30,61-70,-0.16128908032288844,0.6848238214181654
22 D. Tsukamoto,-0.6741284116973434,-0.29487061015741184,Gamba Osaka,-0.25695378076700065,21-25,61-70,0.03235410734099762,-0.6029044992190021
D. Heber,0.8345933323468597,-0.04599183866220832,Rot-Weiß Essen,-0.285648903741977,26-30,61-70,-0.1377998222433822,0.4799579522258888
21 F. Cáseres,-0.889660089417944,-0.6681887674002172,Vélez Sarsfield,-0.2888372507391966,15-20,51-60,-0.16128908032288844,-0.8685547471826136
A. Peláez,1.2656566877880606,0.07844754708539343,Hermanos Colmenarez,-0.2760838627503182,26-30,61-70,-0.07379720781153572,0.8289053118391073
22 César Moreno,-0.889660089417944,-0.6681887674002172,Elche CF,-0.2888372507391966,15-20,51-60,-0.16128908032288844,-0.8685547471826136
22 S. Vignato,-1.3207234448591447,0.07844754708539343,AC Monza,-0.15811502385319337,15-20,61-70,0.3652992577569411,-0.9000725732121947
D. Cornelius,-0.458596733976743,-0.5437493816526153,Motherwell,-0.2792722097475378,21-25,51-60,-0.09415345947145214,-0.5601303067502851
22 J. Briceño,-0.889660089417944,-0.29487061015741184,Club Deportivo Oriente Petrolero,-0.25695378076700065,15-20,61-70,0.03235410734099762,-0.7402321697764623
22 J. Reyes,2.1277833986704624,0.32732631858059696,Sport Huancayo,-0.2920255977364162,31-35,61-70,-0.18604862810024175,1.553815310519471
K. Machida,0.1879982991850584,0.825083861571004,Royale Union Saint-Gilloise,-0.06884130793104484,21-25,71-80,0.5406870436727885,0.43268121318151725
21 Jesús Carrillo,-0.458596733976743,-0.17043122440981007,C.D. Castellón,-0.23463535178646353,21-25,61-70,0.13137142688150677,-0.4183000896171704
A. Fillon,0.8345933323468597,0.07844754708539343,FC Annecy,-0.269707168755879,26-30,61-70,-0.03561340803588567,0.5407423309972237
Allyson,1.6967200432292615,0.5762050900758005,Ümraniyespor,-0.2442003927781223,31-35,61-70,0.09152538977221614,1.3962261803715657
R. Brand,0.8345933323468597,0.07844754708539343,VfB Oldenburg,-0.269707168755879,26-30,61-70,-0.03561340803588567,0.5407423309972237
L. Plange,-0.889660089417944,0.32732631858059696,Crystal Palace,-0.09434808390880156,15-20,61-70,0.4970406184544979,-0.5263612074328768
Pablo Ibáñez,-0.027533378535542063,-0.29487061015741184,CA Osasuna,-0.25695378076700065,21-25,61-70,0.03235410734099762,-0.19092148754662158
22 W. Seymore,1.2656566877880606,-0.4193099959050136,Finn Harps,-0.3226337289097242,26-30,61-70,-0.535062698500844,0.5677576104511503
22 D. Chistyakov,0.8345933323468597,0.9495232473186057,Manchester United,-0.3494158436863688,26-30,71-80,-6.1470699070995485,0.9662329823965675
M. Peralta Bauer,0.1879982991850584,0.2028869328329952,Unión de Santa Fe,-0.2091285758087068,21-25,61-70,0.22326668802336444,0.16252841864225134
W. Aponza,-0.24306505625614253,0.32732631858059696,Portimonense SC,-0.10710147189767992,21-25,61-70,0.47355132422184126,-0.080609096443088
21 Reko,0.1879982991850584,0.07844754708539343,AD Alcorcón,-0.2473887397753419,21-25,61-70,0.0774338007220911,0.10849785973439814
22 Jája Silva,-0.24306505625614253,0.2028869328329952,FC Botoşani,-0.2091285758087068,21-25,61-70,0.22326668802336444,-0.13013710877528675
A. Lindahl,0.8345933323468597,-0.4193099959050136,Kalmar FF,-0.31753237371417287,26-30,61-70,-0.45521947016829883,0.2976048159118843
Aldair Neves,-0.24306505625614253,0.32732631858059696,SD Ponferradina,-0.11985485988655828,21-25,61-70,0.4487917362743273,-0.080609096443088
M. Gouras,0.1879982991850584,0.2028869328329952,SSV Jahn Regensburg,-0.2091285758087068,21-25,61-70,0.22326668802336444,0.16252841864225134
F. Strauss,-0.458596733976743,0.07844754708539343,SC Rheindorf Altach,-0.19637518781982843,21-25,61-70,0.2631127366968009,-0.3237466115284273
22 Y. Jaeschke,0.8345933323468597,-0.17043122440981007,TSV Havelse,-0.29521394473363577,26-30,61-70,-0.21222375361945808,0.41917357345455397
T. Bischof,-1.3207234448591447,-0.17043122440981007,TSG Hoffenheim,-0.19637518781982843,15-20,61-70,0.2631127366968009,-0.97661586499832
D. Vukojević,0.6190616546262593,-0.17043122440981007,Degerfors IF,-0.2824605567447574,26-30,61-70,-0.11545684571163768,0.27959462960926657
22 Claverías,-0.458596733976743,-0.29487061015741184,UD Ibiza,-0.25695378076700065,21-25,61-70,0.03235410734099762,-0.46557682866154193
Hugo Bueno,-0.889660089417944,-0.4193099959050136,Wolverhampton Wanderers,-0.2728955157530986,15-20,61-70,-0.05430744549043033,-0.7830063622451794
18 M. Warren,0.40352997690565884,-0.7926281531478189,Perth Glory,-0.3366624556974904,26-30,51-60,-0.8748238837290031,-0.14139347521442283
O. Targhalline,-0.6741284116973434,0.07844754708539343,Aytemiz Alanyaspor,-0.1836217998309501,21-25,61-70,0.2997675508016166,-0.4678281019493692
A. Boman,-0.6741284116973434,-0.6681887674002172,Varbergs BoIS FC,-0.2920255977364162,21-25,51-60,-0.18604862810024175,-0.7379808964886351
22 T. Klidje,-0.889660089417944,0.07844754708539343,FC Girondins de Bordeaux,-0.17086841184207172,15-20,61-70,0.3337046099464709,-0.611909592370311
A. Ramos,-0.027533378535542063,0.5762050900758005,FBC Melgar,-0.11985485988655828,21-25,61-70,0.4487917362743273,0.1715335117935602
R. Adebisi,-0.458596733976743,-0.17043122440981007,Crewe Alexandra,-0.2410120457809027,21-25,61-70,0.10519627143160433,-0.4183000896171704
22 N. Fatar,-0.889660089417944,-0.29487061015741184,Angers SCO,-0.25057708677256146,15-20,61-70,0.06289478620611774,-0.7402321697764623
M. Deijl,0.1879982991850584,0.2028869328329952,Go Ahead Eagles,-0.22825865779202434,21-25,61-70,0.15613100143895367,0.16252841864225134
F. Ovelar,-1.1051917671385443,-0.17043122440981007,Club Cerro Porteño,-0.23144700478924393,15-20,61-70,0.143918528775923,-0.8370369211530326
V. Garofalo,-0.24306505625614253,-0.29487061015741184,Brescia,-0.26333047476143984,21-25,61-70,-0.00036984053193182934,-0.3282491581040818
22 Bruno Rodrigues,0.1879982991850584,0.4517657043281987,Futebol Clube de Famalicão,-0.17086841184207172,21-25,61-70,0.3337046099464709,0.2705895364579577
22 B. Letić,1.0501250100674602,-0.04599183866220832,CD Mirandés,-0.29521394473363577,26-30,61-70,-0.21222375361945808,0.6217881693590034
22 Tòfol Montiel,-0.458596733976743,-0.17043122440981007,Fiorentina,-0.22507031079480475,21-25,61-70,0.1680262312012757,-0.4183000896171704
C. Kourfalidis,-0.889660089417944,-0.4193099959050136,Cagliari,-0.2824605567447574,15-20,61-70,-0.11545684571163768,-0.7830063622451794
W. Reid,2.1277833986704624,1.0739626330662075,Manchester United,-0.3494158436863688,31-35,71-80,-6.1470699070995485,1.9995674215092596
E. Orzusa,1.912251720949862,-0.04599183866220832,Club Olimpia,-0.3015906387280749,31-35,61-70,-0.2695409539710692,1.189109037891462
P. König,-0.24306505625614253,-0.29487061015741184,MSV Duisburg,-0.25376543376978106,21-25,61-70,0.047878999246369486,-0.3282491581040818
Anderson Cordeiro,-0.027533378535542063,0.4517657043281987,Casa Pia,-0.05608791994216648,21-25,61-70,0.5610433224833009,0.11975422617353422
R. Bogarín,0.40352997690565884,0.4517657043281987,Club Libertad,-0.1836217998309501,26-30,61-70,0.2997675508016166,0.4214248467423812
M. Đurić,1.912251720949862,0.825083861571004,Hellas Verona,-0.1836217998309501,31-35,71-80,0.2997675508016166,1.6933942543647582
22 Óscar Gil,0.6190616546262593,0.07844754708539343,SD Amorebieta,-0.25057708677256146,26-30,61-70,0.06289478620611774,0.3966608405762818
T. Badaloni,-0.24306505625614253,0.7006444758234022,Godoy Cruz,0.05869257195773877,21-25,61-70,0.7122744990113012,0.06797494055350825
21 D. Gonzáles,-0.458596733976743,-0.9170675388954206,Club Atlético Grau,-0.32008305131194853,21-25,51-60,-0.49340317437419573,-0.7019605238833997
21 Edu Viaña,-0.6741284116973434,-0.4193099959050136,AD Alcorcón,-0.2728955157530986,21-25,61-70,-0.05430744549043033,-0.6479299649755464
S. Duffy,1.481188365508661,1.322841404561411,Fulham,0.09695273592437385,31-35,71-80,0.7533115748740199,1.648368788608214
J. Stark,-0.458596733976743,-0.5437493816526153,SC Freiburg II,-0.285648903741977,21-25,51-60,-0.1377998222433822,-0.5601303067502851
J. Guidino,0.6190616546262593,0.5762050900758005,Ayacucho,-0.15811502385319337,26-30,61-70,0.3652992577569411,0.6307932625103123
22 Famana Quizera,-1.1051917671385443,-0.04599183866220832,Borussia Mönchengladbach,-0.19637518781982843,15-20,61-70,0.2631127366968009,-0.7965140019721427
S. Magnússon,-0.24306505625614253,-0.29487061015741184,Lyngby BK,-0.25376543376978106,21-25,61-70,0.047878999246369486,-0.3282491581040818
P. Ceccaroni,0.6190616546262593,1.0739626330662075,Venezia FC,-0.005074367986653036,26-30,71-80,0.6344707782537555,0.8649256844443427
14 Y. Takagi,-0.6741284116973434,0.32732631858059696,FC Utrecht,-0.2728955157530986,21-25,61-70,-0.05430744549043033,-0.3777771704362805
Sandro Cruz,-0.458596733976743,0.07844754708539343,GD Chaves,-0.17086841184207172,21-25,61-70,0.3337046099464709,-0.3237466115284273
J. Blasco,-0.027533378535542063,0.2028869328329952,SD Huesca,-0.22188196379758518,21-25,61-70,0.17962028362054688,0.016195654933482285
22 Iñigo Orozco,1.0501250100674602,0.07844754708539343,SD Amorebieta,-0.2728955157530986,26-30,61-70,-0.05430744549043033,0.6848238214181654
D. Thompson,-0.458596733976743,0.07844754708539343,Blackpool,-0.1836217998309501,21-25,61-70,0.2997675508016166,-0.3237466115284273
M. Litka,0.6190616546262593,0.07844754708539343,F.C. Hansa Rostock,-0.26014212776422024,26-30,61-70,0.01628437324257179,0.3966608405762818
M. Reinthaler,0.8345933323468597,0.07844754708539343,SV Wehen Wiesbaden,-0.269707168755879,26-30,61-70,-0.03561340803588567,0.5407423309972237
F. Romero,-0.24306505625614253,0.32732631858059696,Club Cerro Porteño,-0.10710147189767992,21-25,61-70,0.47355132422184126,-0.080609096443088
D. Fry,0.1879982991850584,1.1984020188138091,Middlesbrough,0.21173322782427909,21-25,71-80,0.8581075033996225,0.5947728899050768
E. Acevedo,-0.889660089417944,-0.6681887674002172,América de Cali,-0.2920255977364162,15-20,51-60,-0.18604862810024175,-0.8685547471826136
Y. Malede,-0.24306505625614253,0.2028869328329952,KV Mechelen,-0.15811502385319337,21-25,61-70,0.3652992577569411,-0.13013710877528675
N. Tella,-0.24306505625614253,0.4517657043281987,Southampton,-0.05608791994216648,21-25,61-70,0.5610433224833009,-0.03108108411088925
22 K. Bangunagande,-0.889660089417944,-0.17043122440981007,FC Tokyo,-0.2442003927781223,15-20,61-70,0.09152538977221614,-0.6974579773077452
J. Fuentes,0.40352997690565884,0.32732631858059696,Metropolitanos de Caracas FC,-0.2091285758087068,26-30,61-70,0.22326668802336444,0.3651430145467008
A. Mahmoud,-0.24306505625614253,-0.17043122440981007,Deportivo Alavés,-0.23463535178646353,21-25,61-70,0.13137142688150677,-0.278721145771883
L. McCarron,-0.458596733976743,-0.29487061015741184,Stoke City,-0.25057708677256146,21-25,61-70,0.06289478620611774,-0.46557682866154193
22 L. Štor,-0.458596733976743,-0.17043122440981007,SG Dynamo Dresden,-0.23463535178646353,21-25,61-70,0.13137142688150677,-0.4183000896171704
