Name,Age,Overall,Club,Value(£),Age_Group,Overall_Group,Log_Value,Age_Rating
Fabinho,1.0501250100674602,2.9405534192802336,Liverpool,9.470692907749967,26-30,81-90,2.16882674861566,2.1346438187788928
Saúl,0.8345933323468597,2.0694777190470215,Atlético de Madrid,2.711397273644438,26-30,81-90,1.6349812267611337,1.513292391338581
L. Martínez,0.1879982991850584,2.816114033532632,Inter,12.212671325358816,21-25,81-90,2.2815952524020866,1.2971701557071682
Parejo,2.1277833986704624,2.816114033532632,Villarreal CF,5.007007111642543,31-35,81-90,1.8912522731333288,3.0396556804854336
G. Lo Celso,0.6190616546262593,2.193917104794623,Tottenham Hotspur,3.667901372810315,26-30,81-90,1.759510839746758,1.3917236337959114
Roberto Firmino,1.481188365508661,2.4427958762898268,Liverpool,4.17803689236545,31-35,81-90,1.814255472702276,2.256212576321562
C. Biraghi,1.2656566877880606,2.0694777190470215,Fiorentina,2.009960934256128,26-30,81-90,1.5157869110591886,1.8734961173909355
Cristiano Ronaldo,2.989910109552864,3.313871576523039,Manchester United,4.879473231753759,36-40,91-100,1.8802170147658093,4.147282138096424
F. Mendy,0.8345933323468597,2.4427958762898268,Real Madrid CF,4.496871592087408,26-30,81-90,1.8454199478522249,1.6956455276525855
Neymar Jr,1.481188365508661,3.1894321907754373,Paris Saint-Germain,12.3402052052476,31-35,81-90,2.2862209590926907,2.661441768130461
G. Bale,1.912251720949862,2.193917104794623,Los Angeles FC,2.2650286940336954,31-35,81-90,1.5627964621307886,2.4858424516799382
R. Andrich,0.8345933323468597,2.193917104794623,Bayer 04 Leverkusen,3.030231973366397,26-30,81-90,1.6803590192699034,1.5740767701099159
K. Laimer,0.40352997690565884,2.4427958762898268,RB Leipzig,4.5606385320318,26-30,81-90,1.8514061907586317,1.3219341618732676
M. Reus,2.1277833986704624,2.6916746477850304,Borussia Dortmund,3.922969132587882,31-35,81-90,1.7877007264676392,2.9653636619871353
M. Arnold,1.0501250100674602,2.0694777190470215,VfL Wolfsburg,2.2650286940336954,26-30,81-90,1.5627964621307886,1.6933942543647582
N. Kanté,1.6967200432292615,3.1894321907754373,Chelsea,8.83302350830605,31-35,81-90,2.1380809046281564,2.8618050907470836
A. Robertson,1.0501250100674602,2.9405534192802336,Liverpool,8.83302350830605,26-30,81-90,2.1380809046281564,2.1346438187788928
A. Florenzi,1.6967200432292615,1.9450383332994197,AC Milan,1.2447576549234265,31-35,71-80,1.3362547484951242,2.1639103715206462
17 S. Gerrard,2.7743784318322637,2.193917104794623,LA Galaxy,-0.17086841184207172,36-40,81-90,0.3337046099464709,3.2152549969359563
Y. Carrasco,1.0501250100674602,2.6916746477850304,Atlético de Madrid,6.601180610252338,26-30,81-90,2.010560154580198,2.0085725146605684
Anderson Talisca,1.0501250100674602,2.318356490542225,Al Nassr,3.6041344328659233,26-30,81-90,1.752183626492256,1.8194655584830823
Lucas Vázquez,1.6967200432292615,2.193917104794623,Real Madrid CF,2.009960934256128,31-35,81-90,1.5157869110591886,2.3034893153659337
Oscar,1.481188365508661,2.193917104794623,Shanghai Port FC,2.8389311535332213,31-35,81-90,1.6536752939817976,2.121136179051929
Renan Lodi,0.1879982991850584,2.0694777190470215,Atlético de Madrid,3.4128336130327477,21-25,81-90,1.7294711507867857,0.9729868022600491
M. Faraoni,1.481188365508661,1.820598947551818,Hellas Verona,1.1809907149790346,31-35,71-80,1.3175606820376955,1.9185215831474798
T. Savanier,1.481188365508661,2.193917104794623,Montpellier Hérault SC,2.8389311535332213,31-35,81-90,1.6536752939817976,2.121136179051929
N. Stanciu,1.2656566877880606,1.9450383332994197,Wuhan Three Towns,1.8186601144229526,26-30,71-80,1.4770646122162832,1.8082091920439463
L. Paredes,1.0501250100674602,2.0694777190470215,Paris Saint-Germain,2.009960934256128,26-30,81-90,1.5157869110591886,1.6933942543647582
J. Ward-Prowse,0.8345933323468597,2.193917104794623,Southampton,3.4128336130327477,26-30,81-90,1.7294711507867857,1.5740767701099159
M. Casco,2.343315076391063,1.6961595618042162,River Plate,0.1479662878798873,31-35,71-80,0.8028670065477684,2.544375557163446
R. Nainggolan,2.343315076391063,1.5717201760566144,Royal Antwerp FC,0.09695273592437385,31-35,71-80,0.7533115748740199,2.4678322653773206
K. Benzema,2.343315076391063,3.438310962270641,Real Madrid CF,7.812752469195782,31-35,91-100,2.0841432156609234,3.6159816421692006
T. Kroos,1.912251720949862,3.0649928050278357,Real Madrid CF,8.83302350830605,31-35,81-90,2.1380809046281564,2.9901276681532347
17 P. Lahm,1.912251720949862,3.0649928050278357,FC Bayern München,3.4128336130327477,31-35,81-90,1.7294711507867857,2.9901276681532347
É. Banega,2.343315076391063,2.193917104794623,Al Shabab,1.1809907149790346,31-35,81-90,1.3175606820376955,2.8505487243079473
Pedro Porro,-0.24306505625614253,2.193917104794623,Sporting CP,4.5606385320318,21-25,81-90,1.8514061907586317,0.6623110885398933
A. Barák,0.8345933323468597,2.193917104794623,Hellas Verona,3.4766005529771395,26-30,81-90,1.7371678203285545,1.5740767701099159
T. Partey,1.2656566877880606,2.5672352620374284,Arsenal,4.2418038323098415,26-30,81-90,1.8206603471841334,2.1346438187788928
A. Tchouaméni,-0.24306505625614253,2.318356490542225,Real Madrid CF,7.493917769473823,21-25,81-90,2.065896137826003,0.711839100872092
Á. Di María,2.343315076391063,2.5672352620374284,Juventus,2.2012617540893036,31-35,81-90,1.5514887011776135,3.0801785996663233
19 Filipe Luís,1.912251720949862,2.6916746477850304,Atlético de Madrid,2.3925625739224787,31-35,81-90,1.584607300963997,2.774005432521822
M. Kovačić,1.0501250100674602,2.5672352620374284,Chelsea,5.007007111642543,26-30,81-90,1.8912522731333288,1.9455368626014065
H. Son,1.2656566877880606,3.1894321907754373,Tottenham Hotspur,12.531506025080775,26-30,81-90,2.2930730729972137,2.461078445513839
T. Müller,1.912251720949862,2.9405534192802336,FC Bayern München,7.685218589306999,31-35,81-90,2.076931396282168,2.9180869229427637
Á. Correa,0.8345933323468597,2.4427958762898268,Atlético de Madrid,5.070774051586935,26-30,81-90,1.89667175724157,1.6956455276525855
Marcos Alonso,1.6967200432292615,1.9450383332994197,Chelsea,1.2447576549234265,31-35,71-80,1.3362547484951242,2.1639103715206462
Sergio Ramos,2.7743784318322637,2.5672352620374284,Paris Saint-Germain,0.6070882554795083,36-40,81-90,1.1023267385140267,3.4583925120212955
M. Pjanić,1.912251720949862,2.193917104794623,FC Barcelona,2.2012617540893036,31-35,81-90,1.5514887011776135,2.4858424516799382
E. Buendía,0.40352997690565884,2.0694777190470215,Aston Villa,3.030231973366397,26-30,81-90,1.6803590192699034,1.1530886652862264
G. Bonaventura,1.912251720949862,1.820598947551818,Fiorentina,1.053456835090251,31-35,71-80,1.2777146021410344,2.2697202160485257
16 Maicon,2.1277833986704624,1.6961595618042162,Roma,0.020432407991103685,31-35,71-80,0.6671947612178919,2.37102751400075
G. Di Lorenzo,1.0501250100674602,2.318356490542225,Napoli,3.1577658532551807,26-30,81-90,1.6973217383503427,1.8194655584830823
Y. Bissouma,0.40352997690565884,2.193917104794623,Tottenham Hotspur,4.050503012476666,26-30,81-90,1.801170552232017,1.2093704974819068
M. Hamšík,2.343315076391063,2.0694777190470215,Trabzonspor,0.8621560152570755,31-35,81-90,1.2105788563968356,2.774005432521822
22 Marcelo,2.1277833986704624,1.9450383332994197,Real Madrid CF,0.7983890753126837,31-35,71-80,1.1858192577372553,2.5196115509973467
21 Hulk,2.1277833986704624,2.0694777190470215,Shanghai Port FC,1.3085245948678181,31-35,81-90,1.3542155225621657,2.5939035694956445
Raúl García,2.5588467541116633,2.0694777190470215,Athletic Club de Bilbao,0.7983890753126837,36-40,81-90,1.1858192577372553,2.9541072955479994
Rodri,0.6190616546262593,2.9405534192802336,Manchester City,10.93733252647098,26-30,81-90,2.232570831025443,1.742922266696957
T. Pobega,-0.24306505625614253,1.5717201760566144,AC Milan,1.8186601144229526,21-25,71-80,1.4770646122162832,0.4146710268788995
O. Zinchenko,0.40352997690565884,1.9450383332994197,Arsenal,2.3925625739224787,26-30,71-80,1.584607300963997,1.096806833090546
E. Fernández,-0.458596733976743,1.820598947551818,SL Benfica,3.667901372810315,21-25,71-80,1.759510839746758,0.33812773509277416
Adryan Zonta,1.481188365508661,2.193917104794623,RB Bragantino,2.4563295138668706,31-35,81-90,1.5951351451298474,2.121136179051929
Cucurella,-0.027533378535542063,2.193917104794623,Chelsea,4.050503012476666,21-25,81-90,1.801170552232017,0.8446642248538978
Jonathan Viera,1.912251720949862,2.0694777190470215,Unión Deportiva Las Palmas,1.754893174478561,31-35,81-90,1.4633937150473246,2.4138017064694672
I. Rakitić,2.343315076391063,2.318356490542225,Sevilla FC,1.4360584747566019,31-35,81-90,1.3881526043524386,2.9270920160940728
T. Vilhena,0.8345933323468597,1.5717201760566144,RCD Espanyol de Barcelona,0.6708551954239,26-30,71-80,1.1318815743352797,1.2701548762532417
M. Cornet,0.40352997690565884,1.820598947551818,West Ham United,2.009960934256128,26-30,71-80,1.5157869110591886,1.0405250008948657
Raphinha,0.40352997690565884,2.4427958762898268,FC Barcelona,5.7722103909752445,26-30,81-90,1.952401781025011,1.3219341618732676
Arthur,0.40352997690565884,2.0694777190470215,Juventus,3.030231973366397,26-30,81-90,1.6803590192699034,1.1530886652862264
21 Santi Cazorla,2.5588467541116633,2.318356490542225,Manchester United,-0.3494158436863688,36-40,81-90,-6.1470699070995485,3.1116964256959045
Jorginho,1.481188365508661,2.6916746477850304,Chelsea,6.2185789705859875,31-35,81-90,1.984632037983796,2.391288973591195
J. McGinn,0.8345933323468597,1.9450383332994197,Aston Villa,2.2012617540893036,26-30,71-80,1.5514887011776135,1.452508012567246
M. Guendouzi,-0.027533378535542063,2.0694777190470215,Olympique de Marseille,3.8592021926434903,21-25,81-90,1.7808142649746384,0.7928849392338718
Sérgio Oliveira,1.481188365508661,1.9450383332994197,Galatasaray SK,1.8186601144229526,31-35,71-80,1.4770646122162832,1.9860597817822963
A. Rabiot,0.8345933323468597,2.0694777190470215,Juventus,2.711397273644438,26-30,81-90,1.6349812267611337,1.513292391338581
D. Klaassen,1.2656566877880606,1.9450383332994197,Ajax,1.8186601144229526,26-30,71-80,1.4770646122162832,1.8082091920439463
N. Fekir,1.0501250100674602,2.6916746477850304,Real Betis Balompié,6.601180610252338,26-30,81-90,2.010560154580198,2.0085725146605684
P. Zieliński,1.0501250100674602,2.4427958762898268,Napoli,4.305570772254233,26-30,81-90,1.8269768757512104,1.8825012105422445
H. Mkhitaryan,2.1277833986704624,2.193917104794623,Inter,1.691126234534169,31-35,81-90,1.4493021095182812,2.6681955879939427
E. Camavinga,-0.889660089417944,1.9450383332994197,Real Madrid CF,4.496871592087408,15-20,71-80,1.8454199478522249,0.029703294660445582
Fabián,0.6190616546262593,2.4427958762898268,Napoli,5.325841811364502,26-30,81-90,1.9177302288700064,1.5087898447629264
J. Milner,2.7743784318322637,1.820598947551818,Liverpool,0.21173322782427909,36-40,71-80,0.8581075033996225,2.972117481850617
Ander Herrera,1.912251720949862,1.9450383332994197,Paris Saint-Germain,1.4360584747566019,31-35,71-80,1.3881526043524386,2.3417609612589967
H. Herrera,1.912251720949862,2.0694777190470215,Houston Dynamo,1.754893174478561,31-35,81-90,1.4633937150473246,2.4138017064694672
J. Álvarez,-0.24306505625614253,1.820598947551818,Manchester City,3.731668312754707,21-25,71-80,1.7667226590119374,0.513727051543297
R. Baku,0.1879982991850584,2.0694777190470215,VfL Wolfsburg,3.4766005529771395,21-25,81-90,1.7371678203285545,0.9729868022600491
V. Rongier,0.8345933323468597,1.820598947551818,Olympique de Marseille,1.691126234534169,26-30,71-80,1.4493021095182812,1.3917236337959114
E. Haaland,-0.458596733976743,3.0649928050278357,Manchester City,18.525598379853605,21-25,81-90,2.46804858081276,0.8108951255364896
M. Locatelli,0.1879982991850584,2.318356490542225,Juventus,4.7519393518649755,21-25,81-90,1.868909253533402,1.0810479200757555
L. Martínez,0.1879982991850584,2.193917104794623,Manchester United,4.114269952421058,21-25,81-90,1.8077597459143044,1.0270173611679023
