Name,Age,Overall,Club,Value(£),Age_Group,Overall_Group,Log_Value,Age_Rating,Cluster_Labels,playerId
Pedro Porro,-0.2430650562561425,2.193917104794623,Sporting CP,4.5606385320318,21-25,81-90,1.8514061907586317,0.6623110885398933,2,129
A. Barák,0.8345933323468597,2.193917104794623,Hellas Verona,3.4766005529771395,26-30,81-90,1.7371678203285543,1.574076770109916,2,130
T. Partey,1.2656566877880606,2.5672352620374284,Arsenal,4.2418038323098415,26-30,81-90,1.8206603471841327,2.1346438187788928,2,131
A. Tchouaméni,-0.2430650562561425,2.318356490542225,Real Madrid CF,7.493917769473823,21-25,81-90,2.065896137826003,0.711839100872092,3,132
Á. Di María,2.343315076391063,2.5672352620374284,Juventus,2.201261754089304,31-35,81-90,1.5514887011776133,3.080178599666324,2,133
19 Filipe Luís,1.912251720949862,2.6916746477850304,Atlético de Madrid,2.3925625739224787,31-35,81-90,1.5846073009639967,2.774005432521822,2,134
M. Kovačić,1.0501250100674602,2.5672352620374284,Chelsea,5.007007111642543,26-30,81-90,1.8912522731333288,1.9455368626014065,2,135
H. Son,1.2656566877880606,3.1894321907754373,Tottenham Hotspur,12.531506025080777,26-30,81-90,2.2930730729972137,2.461078445513839,3,136
T. Müller,1.912251720949862,2.9405534192802336,FC Bayern München,7.685218589306999,31-35,81-90,2.076931396282168,2.918086922942764,3,137
Á. Correa,0.8345933323468597,2.4427958762898268,Atlético de Madrid,5.070774051586935,26-30,81-90,1.8966717572415697,1.6956455276525857,2,138
Marcos Alonso,1.6967200432292615,1.94503833329942,Chelsea,1.2447576549234265,31-35,71-80,1.336254748495124,2.1639103715206462,2,139
Sergio Ramos,2.774378431832264,2.5672352620374284,Paris Saint-Germain,0.6070882554795083,36-40,81-90,1.1023267385140263,3.4583925120212955,2,140
M. Pjanić,1.912251720949862,2.193917104794623,FC Barcelona,2.201261754089304,31-35,81-90,1.5514887011776133,2.4858424516799382,2,141
E. Buendía,0.4035299769056588,2.069477719047021,Aston Villa,3.030231973366397,26-30,81-90,1.6803590192699032,1.1530886652862264,2,142
G. Bonaventura,1.912251720949862,1.8205989475518185,Fiorentina,1.053456835090251,31-35,71-80,1.2777146021410342,2.2697202160485257,2,143
16 Maicon,2.1277833986704624,1.6961595618042165,Roma,0.0204324079911036,31-35,71-80,0.6671947612178916,2.37102751400075,0,144
G. Di Lorenzo,1.0501250100674602,2.318356490542225,Napoli,3.1577658532551807,26-30,81-90,1.6973217383503425,1.8194655584830823,2,145
Y. Bissouma,0.4035299769056588,2.193917104794623,Tottenham Hotspur,4.050503012476666,26-30,81-90,1.8011705522320167,1.2093704974819068,2,146
M. Hamšík,2.343315076391063,2.069477719047021,Trabzonspor,0.8621560152570755,31-35,81-90,1.2105788563968354,2.774005432521822,2,147
22 Marcelo,2.1277833986704624,1.94503833329942,Real Madrid CF,0.7983890753126837,31-35,71-80,1.185819257737255,2.5196115509973467,2,148
21 Hulk,2.1277833986704624,2.069477719047021,Shanghai Port FC,1.308524594867818,31-35,81-90,1.3542155225621657,2.5939035694956445,2,149
Raúl García,2.5588467541116637,2.069477719047021,Athletic Club de Bilbao,0.7983890753126837,36-40,81-90,1.185819257737255,2.9541072955479994,2,150
Rodri,0.6190616546262593,2.9405534192802336,Manchester City,10.93733252647098,26-30,81-90,2.232570831025443,1.742922266696957,3,151
T. Pobega,-0.2430650562561425,1.5717201760566146,AC Milan,1.8186601144229528,21-25,71-80,1.477064612216283,0.4146710268788994,2,152
O. Zinchenko,0.4035299769056588,1.94503833329942,Arsenal,2.3925625739224787,26-30,71-80,1.5846073009639967,1.096806833090546,2,153
E. Fernández,-0.458596733976743,1.8205989475518185,SL Benfica,3.667901372810315,21-25,71-80,1.7595108397467578,0.3381277350927741,2,154
Adryan Zonta,1.481188365508661,2.193917104794623,RB Bragantino,2.4563295138668706,31-35,81-90,1.5951351451298472,2.121136179051929,2,155
Cucurella,-0.0275333785355421,2.193917104794623,Chelsea,4.050503012476666,21-25,81-90,1.8011705522320167,0.8446642248538978,2,156
Jonathan Viera,1.912251720949862,2.069477719047021,Unión Deportiva Las Palmas,1.754893174478561,31-35,81-90,1.4633937150473244,2.4138017064694672,2,157
I. Rakitić,2.343315076391063,2.318356490542225,Sevilla FC,1.436058474756602,31-35,81-90,1.3881526043524384,2.9270920160940728,2,158
T. Vilhena,0.8345933323468597,1.5717201760566146,RCD Espanyol de Barcelona,0.6708551954239,26-30,71-80,1.1318815743352797,1.2701548762532415,0,159
M. Cornet,0.4035299769056588,1.8205989475518185,West Ham United,2.009960934256128,26-30,71-80,1.5157869110591884,1.0405250008948657,2,160
Raphinha,0.4035299769056588,2.4427958762898268,FC Barcelona,5.7722103909752445,26-30,81-90,1.9524017810250107,1.3219341618732676,3,161
Arthur,0.4035299769056588,2.069477719047021,Juventus,3.030231973366397,26-30,81-90,1.6803590192699032,1.1530886652862264,2,162
21 Santi Cazorla,2.5588467541116637,2.318356490542225,Manchester United,-0.3494158436863688,36-40,81-90,-6.147069907099549,3.1116964256959045,0,163
Jorginho,1.481188365508661,2.6916746477850304,Chelsea,6.218578970585988,31-35,81-90,1.984632037983796,2.391288973591195,3,164
J. McGinn,0.8345933323468597,1.94503833329942,Aston Villa,2.201261754089304,26-30,71-80,1.5514887011776133,1.452508012567246,2,165
M. Guendouzi,-0.0275333785355421,2.069477719047021,Olympique de Marseille,3.8592021926434894,21-25,81-90,1.780814264974638,0.7928849392338718,2,166
Sérgio Oliveira,1.481188365508661,1.94503833329942,Galatasaray SK,1.8186601144229528,31-35,71-80,1.477064612216283,1.9860597817822965,2,167
A. Rabiot,0.8345933323468597,2.069477719047021,Juventus,2.711397273644438,26-30,81-90,1.6349812267611334,1.513292391338581,2,168
D. Klaassen,1.2656566877880606,1.94503833329942,Ajax,1.8186601144229528,26-30,71-80,1.477064612216283,1.8082091920439465,2,169
N. Fekir,1.0501250100674602,2.6916746477850304,Real Betis Balompié,6.601180610252338,26-30,81-90,2.010560154580198,2.0085725146605684,3,170
P. Zieliński,1.0501250100674602,2.4427958762898268,Napoli,4.305570772254233,26-30,81-90,1.82697687575121,1.8825012105422445,2,171
H. Mkhitaryan,2.1277833986704624,2.193917104794623,Inter,1.691126234534169,31-35,81-90,1.449302109518281,2.6681955879939427,2,172
E. Camavinga,-0.889660089417944,1.94503833329942,Real Madrid CF,4.496871592087408,15-20,71-80,1.8454199478522249,0.0297032946604455,2,173
Fabián,0.6190616546262593,2.4427958762898268,Napoli,5.325841811364502,26-30,81-90,1.9177302288700064,1.5087898447629264,3,174
J. Milner,2.774378431832264,1.8205989475518185,Liverpool,0.211733227824279,36-40,71-80,0.8581075033996222,2.972117481850617,0,175
Ander Herrera,1.912251720949862,1.94503833329942,Paris Saint-Germain,1.436058474756602,31-35,71-80,1.3881526043524384,2.3417609612589967,2,176
H. Herrera,1.912251720949862,2.069477719047021,Houston Dynamo,1.754893174478561,31-35,81-90,1.4633937150473244,2.4138017064694672,2,177
J. Álvarez,-0.2430650562561425,1.8205989475518185,Manchester City,3.731668312754707,21-25,71-80,1.7667226590119371,0.513727051543297,2,178
R. Baku,0.1879982991850583,2.069477719047021,VfL Wolfsburg,3.4766005529771395,21-25,81-90,1.7371678203285543,0.9729868022600492,2,179
V. Rongier,0.8345933323468597,1.8205989475518185,Olympique de Marseille,1.691126234534169,26-30,71-80,1.449302109518281,1.3917236337959114,2,180
E. Haaland,-0.458596733976743,3.064992805027836,Manchester City,18.525598379853605,21-25,81-90,2.46804858081276,0.8108951255364896,3,181
M. Locatelli,0.1879982991850583,2.318356490542225,Juventus,4.751939351864976,21-25,81-90,1.8689092535334015,1.0810479200757557,2,182
L. Martínez,0.1879982991850583,2.193917104794623,Manchester United,4.114269952421058,21-25,81-90,1.807759745914304,1.0270173611679023,2,183
D. Sow,0.4035299769056588,2.069477719047021,Eintracht Frankfurt,3.030231973366397,26-30,81-90,1.6803590192699032,1.1530886652862264,2,184
19 Ramires,1.6967200432292615,2.069477719047021,Jiangsu FC,0.9259229552014672,31-35,81-90,1.2340681602703494,2.23369984344329,2,185
M. Mount,-0.0275333785355421,2.5672352620374284,Chelsea,6.983782249918689,21-25,81-90,2.035098581327176,1.0000020817139756,3,186
F. Coquelin,1.6967200432292615,2.069477719047021,Villarreal CF,1.8824270543673445,31-35,81-90,1.4903391951940184,2.23369984344329,2,187
Danilo,1.481188365508661,2.069477719047021,Juventus,1.9461939943117363,31-35,81-90,1.5032397961004018,2.0535979804171127,2,188
D. van de Beek,0.4035299769056588,1.94503833329942,Manchester United,2.902698093477613,26-30,71-80,1.6627437300203394,1.096806833090546,2,189
J. Vardy,2.5588467541116637,2.6916746477850304,Leicester City,2.5838633937556543,36-40,81-90,1.6154914320855518,3.348080120917762,2,190
S. Fofana,0.8345933323468597,2.193917104794623,Racing Club de Lens,3.1577658532551807,26-30,81-90,1.6973217383503425,1.574076770109916,2,191
L. Provod,0.4035299769056588,1.447280790309013,SK Slavia Praha,0.6708551954239,26-30,71-80,1.1318815743352797,0.8716795043078244,0,192
V. van Dijk,1.481188365508661,3.313871576523039,Liverpool,12.148904385414424,31-35,91-100,2.279264758473575,2.728979966765278,3,193
Gerson,0.4035299769056588,1.8205989475518185,Olympique de Marseille,2.137494814144912,26-30,71-80,1.5398946376033782,1.0405250008948657,2,194
R. Aliendro,1.6967200432292615,1.5717201760566146,River Plate,0.4157874356463328,31-35,71-80,1.0001401563951309,1.9545419557527155,0,195
18 Gabi,2.1277833986704624,2.193917104794623,Atlético de Madrid,0.9896898951458593,31-35,81-90,1.256411178234772,2.6681955879939427,2,196
